,ID,dict_param,wallet,algo_percentage,perf_algo_vs_hold,nb_Good_trade,Average_Good_trade,Best_trade,nb_Bad_trade,Average_Bad_trade,Worst_trade,worst_draw_back,total_fee
7,429.0,"{'stoch_top': 0.518, 'stoch_bottom': 0.2, 'trix_length': 5, 'trix_signal': 27, 'signal_stoch_rsi': 10}",3921.345010632703,292.1345010632703,-734.3161608452807,415.0,1.75,23.67,1215.0,-0.46,-11.62,-48.0,945.81
8,430.0,"{'stoch_top': 0.518, 'stoch_bottom': 0.2, 'trix_length': 5, 'trix_signal': 25, 'signal_stoch_rsi': 6}",2117.241414330089,111.72414143300888,-342.5883564234432,407.0,2.01,24.44,1307.0,-0.54,-21.9,-43.0,895.66
9,431.0,"{'stoch_top': 0.518, 'stoch_bottom': 0.2, 'trix_length': 5, 'trix_signal': 25, 'signal_stoch_rsi': 11}",5617.092545706234,461.70925457062344,-1102.5164460891415,428.0,1.71,23.67,1204.0,-0.44,-11.62,-38.0,1374.26
10,432.0,"{'stoch_top': 0.582, 'stoch_bottom': 0.2, 'trix_length': 5, 'trix_signal': 25, 'signal_stoch_rsi': 16}",2377.213723772259,137.7213723772259,-399.0365460933527,378.0,1.79,24.14,1204.0,-0.47,-11.97,-39.0,784.31
11,433.0,"{'stoch_top': 0.574, 'stoch_bottom': 0.134, 'trix_length': 5, 'trix_signal': 25, 'signal_stoch_rsi': 16}",2632.1372022821274,163.21372022821274,-454.38847529348595,381.0,1.74,22.72,1197.0,-0.45,-11.97,-42.0,793.23
12,434.0,"{'stoch_top': 0.574, 'stoch_bottom': 0.22, 'trix_length': 5, 'trix_signal': 25, 'signal_stoch_rsi': 16}",2753.3772632760983,175.33772632760986,-480.71351726916413,395.0,1.73,24.14,1171.0,-0.47,-11.97,-36.0,856.46
13,435.0,"{'stoch_top': 0.574, 'stoch_bottom': 0.2, 'trix_length': 3, 'trix_signal': 25, 'signal_stoch_rsi': 16}",130.67382342541185,-86.9326176574588,88.75813737853287,355.0,1.58,15.67,1545.0,-0.48,-20.76,-89.0,209.17
14,436.0,"{'stoch_top': 0.574, 'stoch_bottom': 0.2, 'trix_length': 6, 'trix_signal': 25, 'signal_stoch_rsi': 16}",5883.1723187956895,488.31723187956896,-1160.2907587877064,371.0,1.81,23.43,1078.0,-0.44,-11.62,-26.0,1362.07
15,437.0,"{'stoch_top': 0.574, 'stoch_bottom': 0.2, 'trix_length': 5, 'trix_signal': 19, 'signal_stoch_rsi': 16}",373.75006840098695,-62.62499315990131,35.97861632079928,374.0,1.63,15.73,1248.0,-0.55,-15.64,-80.0,244.7
16,438.0,"{'stoch_top': 0.574, 'stoch_bottom': 0.2, 'trix_length': 5, 'trix_signal': 28, 'signal_stoch_rsi': 16}",2815.2955326138176,181.52955326138175,-494.1579268645852,369.0,1.75,23.32,1194.0,-0.43,-11.62,-42.0,803.77
